title,producer
Death Note,VAP
Death Note,Konami
Death Note,Ashi Production
Death Note,Nippon Television Network
Death Note,Shueisha
Shingeki no Kyojin,Production I.G
Shingeki no Kyojin,Dentsu
Shingeki no Kyojin,Mainichi Broadcasting System
Shingeki no Kyojin,Pony Canyon
Shingeki no Kyojin,Kodansha
Shingeki no Kyojin,Mad Box
Shingeki no Kyojin,Pony Canyon Enterprise
Sword Art Online,Aniplex
Sword Art Online,Genco
Sword Art Online,DAX Production
Sword Art Online,ASCII Media Works
Sword Art Online,Bandai Namco Games
Fullmetal Alchemist: Brotherhood,Aniplex
Fullmetal Alchemist: Brotherhood,Square Enix
Fullmetal Alchemist: Brotherhood,Mainichi Broadcasting System
Fullmetal Alchemist: Brotherhood,Studio Moriken
One Punch Man,TV Tokyo
One Punch Man,Bandai Visual
One Punch Man,Lantis
One Punch Man,Asatsu DK
One Punch Man,Banpresto
One Punch Man,Good Smile Company
One Punch Man,Shueisha
One Punch Man,JR East Marketing &amp; Communications
Tokyo Ghoul,Marvelous AQL
Tokyo Ghoul,TC Entertainment
Tokyo Ghoul,Shueisha
Boku no Hero Academia,Dentsu
Boku no Hero Academia,Mainichi Broadcasting System
Boku no Hero Academia,Movic
Boku no Hero Academia,TOHO animation
Boku no Hero Academia,Shueisha
Steins;Gate,Frontier Works
Steins;Gate,Media Factory
Steins;Gate,Movic
Steins;Gate,AT-X
Steins;Gate,Kadokawa Pictures Japan
Steins;Gate,Nitroplus
Naruto,TV Tokyo
Naruto,Aniplex
Naruto,Shueisha
No Game No Life,Frontier Works
No Game No Life,Media Factory
No Game No Life,Movic
No Game No Life,AT-X
Kimi no Na wa.,Toho
Kimi no Na wa.,Sound Team Don Juan
Kimi no Na wa.,Amuse
Kimi no Na wa.,JR East Marketing &amp; Communications
Kimi no Na wa.,Kadokawa
Kimi no Na wa.,voque ting
Angel Beats!,Aniplex
Angel Beats!,Dentsu
Angel Beats!,Mainichi Broadcasting System
Angel Beats!,CBC
Angel Beats!,Movic
Angel Beats!,Visual Art&#039;s
Angel Beats!,ASCII Media Works
Code Geass: Hangyaku no Lelouch,Bandai Visual
Code Geass: Hangyaku no Lelouch,Mainichi Broadcasting System
Code Geass: Hangyaku no Lelouch,Bandai
Code Geass: Hangyaku no Lelouch,Sony Music Entertainment
Code Geass: Hangyaku no Lelouch,Bandai Namco Entertainment
Code Geass: Hangyaku no Lelouch,Hakuhodo DY Media Partners
Hunter x Hunter (2011),VAP
Hunter x Hunter (2011),Nippon Television Network
Hunter x Hunter (2011),Shueisha
Mirai Nikki,Lantis
Mirai Nikki,Kadokawa Shoten
Mirai Nikki,Rakuonsha
Mirai Nikki,Kadokawa Pictures Japan
Mirai Nikki,KlockWorx
Mirai Nikki,chara-ani.com
Mirai Nikki,12 Diary Holders
Mirai Nikki,Dwango
Mirai Nikki,Sakura Create
Boku no Hero Academia 2nd Season,Dentsu
Boku no Hero Academia 2nd Season,Yomiuri Telecasting
Boku no Hero Academia 2nd Season,Movic
Boku no Hero Academia 2nd Season,Sony Music Entertainment
Boku no Hero Academia 2nd Season,TOHO animation
Boku no Hero Academia 2nd Season,Shueisha
Toradora!,Genco
Toradora!,Starchild Records
Toradora!,Magic Capsule
Toradora!,Yomiuri Advertising
Toradora!,TV Tokyo Music
Noragami,Avex Entertainment
Noragami,Dentsu
Noragami,Shochiku
Noragami,Kodansha
Noragami,Movic
Noragami,Ai Addiction
Noragami,Lawson HMV Entertainment
Noragami,A-Sketch
Naruto: Shippuuden,TV Tokyo
Naruto: Shippuuden,Aniplex
Naruto: Shippuuden,KSS
Naruto: Shippuuden,Rakuonsha
Naruto: Shippuuden,TV Tokyo Music
Naruto: Shippuuden,Shueisha
Re:Zero kara Hajimeru Isekai Seikatsu,TV Tokyo
Re:Zero kara Hajimeru Isekai Seikatsu,Media Factory
Re:Zero kara Hajimeru Isekai Seikatsu,Kadokawa Shoten
Re:Zero kara Hajimeru Isekai Seikatsu,AT-X
Re:Zero kara Hajimeru Isekai Seikatsu,Magic Capsule
Re:Zero kara Hajimeru Isekai Seikatsu,Memory-Tech
Re:Zero kara Hajimeru Isekai Seikatsu,Hakuhodo DY Music &amp; Pictures
Shingeki no Kyojin Season 2,Production I.G
Shingeki no Kyojin Season 2,Dentsu
Shingeki no Kyojin Season 2,Mainichi Broadcasting System
Shingeki no Kyojin Season 2,Pony Canyon
Shingeki no Kyojin Season 2,Kodansha
Shingeki no Kyojin Season 2,Techno Sound
Shingeki no Kyojin Season 2,Pony Canyon Enterprise
Sword Art Online II,Aniplex
Sword Art Online II,Genco
Sword Art Online II,ASCII Media Works
Sword Art Online II,Bandai Namco Games
Ao no Exorcist,Aniplex
Ao no Exorcist,Dentsu
Ao no Exorcist,Mainichi Broadcasting System
Ao no Exorcist,Movic
Ao no Exorcist,Sakura Create
Ao no Exorcist,Shueisha
Shigatsu wa Kimi no Uso,Aniplex
Shigatsu wa Kimi no Uso,Dentsu
Shigatsu wa Kimi no Uso,Kodansha
Shigatsu wa Kimi no Uso,Fuji TV
Shigatsu wa Kimi no Uso,Kyoraku Industrial Holdings
Akame ga Kill!,Square Enix
Akame ga Kill!,TOHO animation
Nanatsu no Taizai,Aniplex
Nanatsu no Taizai,Dentsu
Nanatsu no Taizai,Mainichi Broadcasting System
Nanatsu no Taizai,Kodansha
Nanatsu no Taizai,Movic
Fairy Tail,TV Tokyo
Fairy Tail,Dentsu
Fairy Tail,Pony Canyon
Fairy Tail,Kodansha
Fairy Tail,DAX Production
Fairy Tail,Sakura Create
Boku dake ga Inai Machi,Aniplex
Boku dake ga Inai Machi,Dentsu
Boku dake ga Inai Machi,Kadokawa Shoten
Boku dake ga Inai Machi,Fuji TV
Boku dake ga Inai Machi,DAX Production
Boku dake ga Inai Machi,Kyoraku Industrial Holdings
Boku dake ga Inai Machi,Kansai Telecasting
Boku dake ga Inai Machi,Lawson
One Piece,Fuji TV
One Piece,TAP
One Piece,Shueisha
Bleach,TV Tokyo
Bleach,Aniplex
Bleach,Dentsu
Bleach,TV Tokyo Music
Bleach,Studio Kelmadick
Bleach,Shueisha
Koe no Katachi,Shochiku
Koe no Katachi,Pony Canyon
Koe no Katachi,Kodansha
Koe no Katachi,ABC Animation
Koe no Katachi,Quaras
Kill la Kill,Aniplex
Kill la Kill,Dentsu
Kill la Kill,Kadokawa Shoten
Kill la Kill,Mainichi Broadcasting System
Kill la Kill,Movic
Kill la Kill,Ultra Super Pictures
Kill la Kill,Lucent Pictures Entertainment
Code Geass: Hangyaku no Lelouch R2,Bandai Visual
Code Geass: Hangyaku no Lelouch R2,Mainichi Broadcasting System
Code Geass: Hangyaku no Lelouch R2,Bandai
Code Geass: Hangyaku no Lelouch R2,Bandai Namco Entertainment
Code Geass: Hangyaku no Lelouch R2,Hakuhodo DY Media Partners
Boku no Hero Academia 3rd Season,Dentsu
Boku no Hero Academia 3rd Season,Yomiuri Telecasting
Boku no Hero Academia 3rd Season,Movic
Boku no Hero Academia 3rd Season,Sony Music Entertainment
Boku no Hero Academia 3rd Season,TOHO animation
Boku no Hero Academia 3rd Season,Shueisha
Kono Subarashii Sekai ni Shukufuku wo!,Half H.P Studio
Kono Subarashii Sekai ni Shukufuku wo!,Nippon Columbia
Kono Subarashii Sekai ni Shukufuku wo!,KlockWorx
Kono Subarashii Sekai ni Shukufuku wo!,Sony Music Communications
Kono Subarashii Sekai ni Shukufuku wo!,Toranoana
Kono Subarashii Sekai ni Shukufuku wo!,81 Produce
Kono Subarashii Sekai ni Shukufuku wo!,Kadokawa Media House
Tengen Toppa Gurren Lagann,TV Tokyo
Tengen Toppa Gurren Lagann,Aniplex
Tengen Toppa Gurren Lagann,Dentsu
Tengen Toppa Gurren Lagann,Konami
Tengen Toppa Gurren Lagann,Half H.P Studio
Tengen Toppa Gurren Lagann,Bandai
Soul Eater,TV Tokyo
Soul Eater,Aniplex
Soul Eater,Dentsu
Soul Eater,Media Factory
Cowboy Bebop,Bandai Visual
Sen to Chihiro no Kamikakushi,Toho
Psycho-Pass,Dentsu
Psycho-Pass,Fuji TV
Psycho-Pass,Nitroplus
Psycho-Pass,Sony Music Entertainment
Psycho-Pass,TOHO animation
Psycho-Pass,Kyoraku Industrial Holdings
Kiseijuu: Sei no Kakuritsu,VAP
Kiseijuu: Sei no Kakuritsu,Kodansha
Kiseijuu: Sei no Kakuritsu,Nippon Television Network
Kiseijuu: Sei no Kakuritsu,Forecast Communications
Elfen Lied,VAP
Elfen Lied,Genco
Another,Lantis
Another,Kadokawa Shoten
Another,Toho
Another,KlockWorx
Another,Bandai Namco Live Creative
Another,NTT Docomo
Kimetsu no Yaiba,Aniplex
Kimetsu no Yaiba,Shueisha
Tokyo Ghoul √A,Marvelous AQL
Tokyo Ghoul √A,Shueisha
Ansatsu Kyoushitsu,Dentsu
Ansatsu Kyoushitsu,Studio Hibari
Ansatsu Kyoushitsu,Fuji TV
Ansatsu Kyoushitsu,DAX Production
Ansatsu Kyoushitsu,BS Fuji
Ansatsu Kyoushitsu,Avex Pictures
Ansatsu Kyoushitsu,Shueisha
Mob Psycho 100,Warner Bros. Japan
Mob Psycho 100,KlockWorx
Mob Psycho 100,BS Fuji
Mob Psycho 100,Hakuhodo DY Music &amp; Pictures
Mob Psycho 100,Shogakukan
Death Parade,VAP
Death Parade,DAX Production
Death Parade,Nippon Television Network
Fullmetal Alchemist,Aniplex
Fullmetal Alchemist,Dentsu
Fullmetal Alchemist,Square Enix
Fullmetal Alchemist,Mainichi Broadcasting System
Shokugeki no Souma,Dentsu
Shokugeki no Souma,Frontier Works
Shokugeki no Souma,Mainichi Broadcasting System
Shokugeki no Souma,Magic Capsule
Shokugeki no Souma,Warner Bros. Japan
Shokugeki no Souma,KlockWorx
Shokugeki no Souma,Showgate
Shokugeki no Souma,Shueisha
Shokugeki no Souma,I Will
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Aniplex
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Dentsu
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Fuji TV
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Fujipacific Music
Highschool of the Dead,Geneon Universal Entertainment
Highschool of the Dead,AT-X
Highschool of the Dead,Showgate
Durarara!!,Aniplex
Durarara!!,Square Enix
Durarara!!,Mainichi Broadcasting System
Durarara!!,Movic
Durarara!!,ASCII Media Works
Durarara!!,Sakura Create
Neon Genesis Evangelion,TV Tokyo
Neon Genesis Evangelion,Kadokawa Shoten
Neon Genesis Evangelion,Nihon Ad Systems
Neon Genesis Evangelion,Audio Tanaka
Clannad,Pony Canyon
Clannad,TBS
Clannad,Movic
Clannad,Animation Do
Fate/Zero,Aniplex
Fate/Zero,Nitroplus
Fate/Zero,Seikaisha
Fate/Zero,Notes
Haikyuu!!,Mainichi Broadcasting System
Haikyuu!!,TOHO animation
Haikyuu!!,Shueisha
Bakemonogatari,Aniplex
Bakemonogatari,Kodansha
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Genco
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Movic
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Warner Bros. Japan
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,KlockWorx
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,SoftBank Creative
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Showgate
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,MAGES.
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,FuRyu
Hataraku Maou-sama!,Sotsu
Hataraku Maou-sama!,Lantis
Hataraku Maou-sama!,Pony Canyon
Hataraku Maou-sama!,Magic Capsule
Hataraku Maou-sama!,Infinite
Shingeki no Kyojin Season 3,Production I.G
Shingeki no Kyojin Season 3,Dentsu
Shingeki no Kyojin Season 3,Mainichi Broadcasting System
Shingeki no Kyojin Season 3,Pony Canyon
Shingeki no Kyojin Season 3,Kodansha
Shingeki no Kyojin Season 3,Techno Sound
Shingeki no Kyojin Season 3,Pony Canyon Enterprise
Noragami Aragoto,Dentsu
Noragami Aragoto,Shochiku
Noragami Aragoto,Kodansha
Noragami Aragoto,Ai Addiction
Noragami Aragoto,Avex Pictures
Noragami Aragoto,A-Sketch
Overlord,AT-X
Overlord,Grooove
Overlord,Hakuhodo DY Music &amp; Pictures
Overlord,Kadokawa
Charlotte,Aniplex
Charlotte,Mainichi Broadcasting System
Charlotte,Movic
Charlotte,Visual Art&#039;s
Charlotte,ASCII Media Works
Charlotte,Tokyo MX
Charlotte,BS11
Mahou Shoujo Madoka★Magica,Aniplex
Mahou Shoujo Madoka★Magica,Mainichi Broadcasting System
Mahou Shoujo Madoka★Magica,Movic
